url,approximate_value,number_drafted,position
/players/A/AustBl00.htm,6,196,CB
/players/A/AustCl00.htm,5,66,RB
/players/A/AustEr20.htm,0,104,DB
/players/A/AustHi20.htm,0,202,DB
/players/A/AustMa00.htm,2,52,DL
/players/A/AustRa20.htm,0,145,DB
/players/A/AustRe20.htm,2,125,DB
/players/A/AustTa00.htm,25,8,WR
/players/A/AustTe00.htm,1,219,WR
/players/A/AutrDa00.htm,7,105,RB
/players/A/AuzeTr20.htm,16,49,T
/players/A/AvanJa00.htm,29,109,WR
/players/A/AvelBo00.htm,28,135,QB
/players/A/AverAn00.htm,0,118,CB
/players/A/AverDo00.htm,21,33,WR
/players/A/AverGe00.htm,6,150,LB
/players/A/AverJo00.htm,4,29,RB
/players/A/AvriCl99.htm,50,92,DE
/players/A/AwalRo00.htm,13,62,TE
/players/A/AwuzCh00.htm,19,60,CB
/players/A/AydeBu20.htm,3,169,T
/players/A/AyerAk00.htm,27,39,MLB
/players/A/AyerDe00.htm,0,229,WR
/players/A/AyerJo20.htm,66,223,G
/players/A/AyerRo99.htm,27,18,DE
/players/A/AyodAk20.htm,48,89,LB
/players/A/AzumJe00.htm,29,147,DB
/players/B/BaabMi20.htm,60,115,C
/players/B/BaacSt20.htm,4,75,NT
/players/B/BaasDa20.htm,36,33,G
/players/B/BabbCh20.htm,18,129,DB
/players/B/BabeBi00.htm,0,141,TE
/players/B/BabeRo20.htm,0,123,DB
/players/B/BabiBo20.htm,37,18,LB
/players/B/BabiJa20.htm,46,27,LB
/players/B/BabiJo20.htm,52,59,DE
/players/B/BabiJo22.htm,9,39,LB
/players/B/BacaJe00.htm,0,196,OG
/players/B/BachJa20.htm,0,132,C
/players/B/BackKe00.htm,0,213,TE
/players/B/BackJe20.htm,70,18,T
/players/B/BacoWa20.htm,1,202,DB
/players/B/BadaRi00.htm,1,186,RB
/players/B/BadgBr20.htm,27,162,G
/players/B/bahrxchr01.htm,28,51,K
/players/B/bahrxmat01.htm,29,165,K
/players/B/BailAl00.htm,34,86,DL
/players/B/BailBo20.htm,22,34,LB
/players/B/BailCa20.htm,43,235,LB
/players/B/BailCh00.htm,120,7,DB
/players/B/BailEd20.htm,55,114,G
/players/B/BailEl20.htm,1,100,WR
/players/B/BailHa00.htm,5,217,WR
/players/B/BailHe00.htm,0,235,WR
/players/B/BailJa00.htm,5,163,P
/players/B/BailJi21.htm,42,44,DT
/players/B/BailJo00.htm,18,228,RB
/players/B/BailKa00.htm,1,82,WR
/players/B/BailLa20.htm,0,225,DT
/players/B/BailMa00.htm,6,92,RB
/players/B/BailMa01.htm,1,215,LB
/players/B/BailRo20.htm,12,107,DB
/players/B/BailRo21.htm,7,181,DE
/players/B/BailSt00.htm,24,63,WR
/players/B/BailSt01.htm,7,92,WR
/players/B/BailVi00.htm,8,50,WR
/players/B/BainBi20.htm,28,47,T
/players/B/BajeBi00.htm,2,249,TE
/players/B/BakeAl00.htm,70,40,DE
/players/B/BakeAr00.htm,5,18,FB
/players/B/BakeBu00.htm,42,36,FS
/players/B/BakeCh20.htm,31,81,RLB
/players/B/BakeCh00.htm,13,88,TE
/players/B/BakeDa01.htm,0,227,WR
/players/B/BakeDa00.htm,23,5,DB
/players/B/BakeDe00.htm,6,30,CB
/players/B/BakeEd01.htm,1,250,RB
/players/B/BakeEu00.htm,1,164,WR
/players/B/BakeJe00.htm,16,73,OLB
/players/B/BakeJe21.htm,28,50,DE
/players/B/BakeJo20.htm,41,56,DE
/players/B/BakeJo23.htm,16,54,LLB
/players/B/BakeMe00.htm,2,208,WR
/players/B/BakeMy20.htm,7,100,LB
/players/B/BakeRa20.htm,57,43,LB
/players/B/BakeSa21.htm,32,21,T
/players/B/BakeSh20.htm,0,205,WR
/players/B/BakeSt00.htm,24,83,WR
/players/B/BakeTe00.htm,6,1,QB
/players/B/BakeWa20.htm,3,74,DT
/players/B/BakhDa00.htm,85,109,OT
/players/B/BakkJi20.htm,51,88,K
/players/B/BaldGa20.htm,4,229,DE
/players/B/BaldKa20.htm,47,178,T
/players/B/BaldEr99.htm,0,208,DE
/players/B/BaldJo99.htm,0,158,LB
/players/B/BaldJo00.htm,4,26,WR
/players/B/BaldKe20.htm,15,31,DE
/players/B/BaldRa00.htm,3,92,RB
/players/B/BaldTo20.htm,8,234,NT
/players/B/BallAl99.htm,19,237,DB
/players/B/BallDa20.htm,15,133,DE
/players/B/BallEr00.htm,5,35,RB
/players/B/BallJe00.htm,67,63,NT
/players/B/BallLa20.htm,21,91,LB
/players/B/BallMi20.htm,14,104,DB
/players/B/BallMo00.htm,7,58,RB
/players/B/BallNe00.htm,1,161,OLB
/players/B/BallSa20.htm,27,14,T
/players/B/BallKa00.htm,5,131,RB
/players/B/BallCh00.htm,3,106,DL
/players/B/BallVi00.htm,5,170,RB
/players/B/BallCo00.htm,0,180,CB
/players/B/BallLo00.htm,0,256,FS
/players/B/BallGa00.htm,48,104,FL
/players/B/BallMi21.htm,2,56,LB
/players/B/BalmKe99.htm,7,29,DT
/players/B/BanaPe00.htm,40,59,RB
/players/B/BanaCa20.htm,52,11,T
/players/B/BandRo20.htm,1,75,DT
/players/B/BandDo20.htm,0,135,G
/players/B/BankAn20.htm,1,113,DB
/players/B/BankCa00.htm,66,3,LB
/players/B/BankCh01.htm,72,3,LB
/players/B/BankCh20.htm,2,226,G
/players/B/BankEs00.htm,1,188,RB
/players/B/BankFr00.htm,14,203,WR
/players/B/BankJo00.htm,14,43,CB
