url,approximate_value,number_drafted,position
/players/A/AlleDw00.htm,12,-1,TE
/players/A/AlleEa20.htm,0,-1,DB
/players/A/AlleEd20.htm,-1,-1,E
/players/A/AlleEd21.htm,-1,-1,FB
/players/A/AlleEg20.htm,0,-1,DB
/players/A/AlleEr00.htm,119,30,DB
/players/A/AlleEr20.htm,-1,-1,QB
/players/A/AlleGa20.htm,1,-1,RB
/players/A/AlleGe20.htm,0,-1,T
/players/A/AlleJe00.htm,9,-1,RB
/players/A/AlleGr20.htm,20,-1,LB
/players/A/AlleGr21.htm,0,35,RB
/players/A/AlleHa20.htm,0,-1,DB
/players/A/AlleIa20.htm,4,-1,T
/players/A/AlleJa20.htm,3,-1,DB
/players/A/AlleJa24.htm,0,-1,WR
/players/A/AlleJa00.htm,18,-1,RB
/players/A/AlleJa21.htm,9,-1,LB
/players/A/AlleJa22.htm,99,-1,DE
/players/A/AlleJa23.htm,11,-1,DB
/players/A/AlleJa01.htm,14,-1,RB
/players/A/AlleJe21.htm,0,-1,DB
/players/A/AlleJe20.htm,6,-1,DB
/players/A/AlleJe01.htm,26,44,T
/players/A/AlleJi20.htm,36,-1,DB
/players/A/AlleJo20.htm,-1,-1,C
/players/A/AlleJo01.htm,25,-1,DT
/players/A/AlleJo00.htm,0,-1,C
/players/A/AlleJo02.htm,36,-1,QB
/players/A/AlleJo03.htm,9,-1,EDGE
/players/A/AlleKe00.htm,55,-1,WR
/players/A/AlleKe20.htm,4,-1,DT
/players/A/AlleKe21.htm,0,-1,T
/players/A/AlleKy00.htm,9,-1,QB
/players/A/AlleLa00.htm,101,46,G
/players/A/AlleLo20.htm,-1,-1,T
/players/A/AlleLy20.htm,-1,-1,WB
/players/A/AlleMa00.htm,103,-1,RB
/players/A/AlleMa03.htm,2,-1,S
/players/A/AlleMa01.htm,1,-1,RB
/players/A/AlleMa20.htm,1,-1,P
/players/A/AlleNa20.htm,23,-1,DB
/players/A/AlleNa99.htm,35,37,DB
/players/A/AllePa20.htm,32,-1,DB
/players/A/AlleRa00.htm,0,-1,TE
/players/A/AlleRi00.htm,28,-1,CB
/players/A/AlleRo20.htm,0,-1,G
/players/A/AlleRu00.htm,20,-1,MLB
/players/A/AlleRy01.htm,13,-1,P
/players/A/AlleTa20.htm,1,-1,DB
/players/A/AlleTe00.htm,60,-1,RB
/players/A/AlleTo00.htm,0,-1,WR
/players/A/AlleTr00.htm,0,-1,TE
/players/A/AlleWi20.htm,46,-1,DB
/players/A/AlleWi21.htm,24,-1,DB
/players/A/AlleZa01.htm,5,-1,DL
/players/A/AlleKu20.htm,24,-1,LB
/players/A/AlleTy20.htm,4,-1,LB
/players/A/AlleDo00.htm,0,-1,WR
/players/A/AlliAu00.htm,3,-1,WR
/players/A/AlliGe01.htm,8,-1,WR
/players/A/AlliHe20.htm,4,50,G
/players/A/AlliJi00.htm,6,-1,RB
/players/A/AlliNe20.htm,-1,-1,E
/players/A/AlliBu20.htm,3,-1,LB
/players/A/AllmBo20.htm,-1,-1,E
/players/A/AllrBr20.htm,0,-1,DB
/players/A/AllrCo99.htm,2,-1,LB
