url,approximate_value,number_drafted,position,year_drafted
/players/A/ArchAd20.htm,33,20,DB,2001
/players/A/ArdxBi20.htm,54,221,G,1981
/players/A/ArdiTo20.htm,0,153,C,1978
/players/A/ArenJa99.htm,4,50,DB,2010
/players/A/aririobe01.htm,3,178,K,1981
/players/A/ArkiDa00.htm,0,110,OL,2011
/players/A/ArmaAl00.htm,0,192,FB,2017
/players/A/ArmoJo20.htm,10,224,DB,1999
/players/A/ArmoJu00.htm,7,113,WR,1995
/players/A/ArmsAr01.htm,28,17,DE,2015
/players/A/ArmsJe00.htm,79,207,LB,1993
/players/A/ArmsRy00.htm,2,140,RB,2019
/players/A/ArmsTe00.htm,52,75,OT,2013
/players/A/ArmsAn20.htm,0,201,LB,1995
/players/A/ArmsBr00.htm,92,23,T,1987
/players/A/ArmsCo00.htm,0,209,CB,2018
/players/A/ArmsDo00.htm,6,116,DE,2018
/players/A/ArmsHa20.htm,20,190,NT,1982
/players/A/ArmsOt00.htm,53,9,RB,1973
/players/A/ArmsTr00.htm,62,12,DE,1989
/players/A/ArmsTy00.htm,4,79,TE,1992
/players/A/ArndDi20.htm,9,77,DT,1966
/players/A/ArneMa20.htm,45,32,LB,1972
/players/A/ArneJo00.htm,32,2,HB,1957
/players/A/ArneDa00.htm,3,19,CB,2020
/players/A/ArnoDa20.htm,0,118,DB,1989
/players/A/ArnoJa00.htm,1,132,WR,1996
/players/A/ArnoJi20.htm,22,119,P,1983
/players/A/ArnoSt99.htm,1,118,LB,2009
/players/A/AromDe00.htm,10,233,WR,2006
/players/A/ArriAd00.htm,1,237,WR,2008
/players/A/ArriJ.00.htm,11,44,RB,2005
/players/A/ArriLa00.htm,46,2,LB,2000
/players/A/ArthGa00.htm,0,124,TE,1970
/players/A/ArthMi20.htm,17,130,C,1991
/players/A/ArtiCa00.htm,5,174,RB,2015
/players/A/ArviHe20.htm,0,124,T,1993
/players/A/AsamJo20.htm,23,68,G,2010
/players/A/AsanLa99.htm,0,160,DB,2010
/players/A/AsbuWi00.htm,11,64,RB,1966
/players/A/AsheBo20.htm,18,27,T,1970
/players/A/AsheJa00.htm,12,137,TE,1995
/players/A/AshlWa20.htm,14,73,LILB,1983
/players/A/AshmDa20.htm,12,171,T,1992
/players/A/AshtJo00.htm,10,209,RB,1971
/players/A/AsiaDe00.htm,0,91,TE,2020
/players/A/AsiaIs00.htm,0,164,OG,2017
/players/A/AskaJo00.htm,3,86,RB,1995
/players/A/AskeMi20.htm,0,165,T,1973
/players/A/AskeB.00.htm,4,85,FB,2003
/players/A/AskeMa20.htm,0,114,DT,2004
/players/A/AsomNn20.htm,71,31,DB,2003
/players/A/AspeMa00.htm,0,178,G,2012
/players/A/AtemMa00.htm,2,228,WR,2018
/players/A/AtesBi20.htm,2,52,DE,1971
/players/A/AtkiBa99.htm,2,120,DE,2007
/players/A/AtkiBi00.htm,33,59,DB,1958
/players/A/AtkiBo20.htm,24,42,DB,1968
/players/A/AtkiDo00.htm,75,11,DE,1953
/players/A/AtkiGe20.htm,65,179,DB,1987
/players/A/AtkiGe99.htm,88,120,DT,2010
/players/A/AtkiKe20.htm,1,212,LB,1982
/players/A/AtkiLa20.htm,4,84,LB,1999
/players/A/AtkiPe00.htm,7,30,FL,1960
/players/A/AtkiSt00.htm,3,44,RB,1979
/players/A/AtkiAl00.htm,48,84,LB,1965
/players/A/AtkiFr20.htm,5,108,DT,1963
/players/A/AtkiBu00.htm,72,190,DB,1968
/players/A/AtogO.20.htm,37,66,DB,2005
/players/A/AttaJe00.htm,16,50,OLB,2014
/players/A/AtwaSt00.htm,96,20,DB,1989
/players/A/AudiDa20.htm,13,106,T,1977
/players/A/AuerJo00.htm,12,57,RB,1963
/players/A/AuerSc20.htm,3,229,G,1984
/players/A/AuguSt20.htm,52,14,T,1977
/players/A/AusbDa00.htm,1,241,WR,2011
/players/A/AustBl00.htm,6,196,CB,2019
/players/A/AustCl00.htm,5,66,RB,1983
/players/A/AustEr20.htm,0,104,DB,1996
/players/A/AustHi20.htm,0,202,DB,1973
/players/A/AustMa00.htm,2,52,DL,2011
/players/A/AustRa20.htm,0,145,DB,1997
/players/A/AustRe20.htm,2,125,DB,2000
/players/A/AustTa00.htm,25,8,WR,2013
/players/A/AustTe00.htm,1,219,WR,2010
/players/A/AutrDa00.htm,7,105,RB,1997
/players/A/AuzeTr20.htm,16,49,T,1992
/players/A/AvanJa00.htm,29,109,WR,2006
/players/A/AvelBo00.htm,28,135,QB,1975
/players/A/AverAn00.htm,0,118,CB,2018
/players/A/AverDo00.htm,21,33,WR,2008
/players/A/AverGe00.htm,6,150,LB,2018
/players/A/AverJo00.htm,4,29,RB,1998
/players/A/AvriCl99.htm,50,92,DE,2008
/players/A/AwalRo00.htm,13,62,TE,1987
/players/A/AwuzCh00.htm,19,60,CB,2017
/players/A/AydeBu20.htm,3,169,T,1980
/players/A/AyerAk00.htm,27,39,MLB,2011
/players/A/AyerDe00.htm,0,229,WR,2016
/players/A/AyerJo20.htm,66,223,G,1976
/players/A/AyerRo99.htm,27,18,DE,2009
/players/A/AyodAk20.htm,48,89,LB,2002
/players/A/AzumJe00.htm,29,147,DB,1999
/players/B/BaabMi20.htm,60,115,C,1982
/players/B/BaacSt20.htm,4,75,NT,1984
/players/B/BaasDa20.htm,36,33,G,2005
/players/B/BabbCh20.htm,18,129,DB,1972
/players/B/BabeBi00.htm,0,141,TE,2001
/players/B/BabeRo20.htm,0,123,DB,2003
/players/B/BabiBo20.htm,37,18,LB,1969
/players/B/BabiJa20.htm,46,27,LB,2004
/players/B/BabiJo20.htm,52,59,DE,2005
/players/B/BabiJo22.htm,9,39,LB,1972
/players/B/BacaJe00.htm,0,196,OG,2013
/players/B/BachJa20.htm,0,132,C,1967
/players/B/BackKe00.htm,0,213,TE,2015
/players/B/BackJe20.htm,70,18,T,2001
/players/B/BacoWa20.htm,1,202,DB,2003
/players/B/BadaRi00.htm,1,186,RB,1986
/players/B/BadgBr20.htm,27,162,G,1997
/players/B/bahrxchr01.htm,28,51,K,1976
/players/B/bahrxmat01.htm,29,165,K,1979
/players/B/BailAl00.htm,34,86,DL,2011
/players/B/BailBo20.htm,22,34,LB,2003
/players/B/BailCa20.htm,43,235,LB,1988
/players/B/BailCh00.htm,120,7,DB,1999
/players/B/BailEd20.htm,55,114,G,1981
/players/B/BailEl20.htm,1,100,WR,1980
/players/B/BailHa00.htm,5,217,WR,1980
/players/B/BailHe00.htm,0,235,WR,1995
/players/B/BailJa00.htm,5,163,P,2019
/players/B/BailJi21.htm,42,44,DT,1970
/players/B/BailJo00.htm,18,228,RB,1990
/players/B/BailKa00.htm,1,82,WR,1999
/players/B/BailLa20.htm,0,225,DT,1974
/players/B/BailMa00.htm,6,92,RB,1977
/players/B/BailMa01.htm,1,215,LB,2020
/players/B/BailRo20.htm,12,107,DB,1991
/players/B/BailRo21.htm,7,181,DE,2001
/players/B/BailSt00.htm,24,63,WR,1982
/players/B/BailSt01.htm,7,92,WR,2013
/players/B/BailVi00.htm,8,50,WR,1993
/players/B/BainBi20.htm,28,47,T,1975
/players/B/BajeBi00.htm,2,249,TE,2005
/players/B/BakeAl00.htm,70,40,DE,1978
/players/B/BakeAr00.htm,5,18,FB,1961
/players/B/BakeBu00.htm,42,36,FS,2017
/players/B/BakeCh20.htm,31,81,RLB,1980
/players/B/BakeCh00.htm,13,88,TE,2002
/players/B/BakeDa01.htm,0,227,WR,2007
/players/B/BakeDa00.htm,23,5,DB,1959
/players/B/BakeDe00.htm,6,30,CB,2019
/players/B/BakeEd01.htm,1,250,RB,2012
/players/B/BakeEu00.htm,1,164,WR,1999
/players/B/BakeJe00.htm,16,73,OLB,2018
/players/B/BakeJe21.htm,28,50,DE,1979
/players/B/BakeJo20.htm,41,56,DE,1958
/players/B/BakeJo23.htm,16,54,LLB,1963
/players/B/BakeMe00.htm,2,208,WR,1974
/players/B/BakeMy20.htm,7,100,LB,1993
/players/B/BakeRa20.htm,57,43,LB,1964
/players/B/BakeSa21.htm,32,21,T,2008
/players/B/BakeSh20.htm,0,205,WR,1993
/players/B/BakeSt00.htm,24,83,WR,1987
/players/B/BakeTe00.htm,6,1,QB,1963
/players/B/BakeWa20.htm,3,74,DT,1975
/players/B/BakhDa00.htm,85,109,OT,2013
/players/B/BakkJi20.htm,51,88,K,1962
/players/B/BaldGa20.htm,4,229,DE,1986
/players/B/BaldKa20.htm,47,178,T,1978
/players/B/BaldEr99.htm,0,208,DE,2008
/players/B/BaldJo99.htm,0,158,LB,2007
/players/B/BaldJo00.htm,4,26,WR,2011
/players/B/BaldKe20.htm,15,31,DE,1982
/players/B/BaldRa00.htm,3,92,RB,1991
/players/B/BaldTo20.htm,8,234,NT,1984
/players/B/BallAl99.htm,19,237,DB,2007
/players/B/BallDa20.htm,15,133,DE,2004
/players/B/BallEr00.htm,5,35,RB,1989
/players/B/BallJe00.htm,67,63,NT,1987
/players/B/BallLa20.htm,21,91,LB,1972
/players/B/BallMi20.htm,14,104,DB,1988
/players/B/BallMo00.htm,7,58,RB,2013
/players/B/BallNe00.htm,1,161,OLB,2015
/players/B/BallSa20.htm,27,14,T,1966
/players/B/BallKa00.htm,5,131,RB,2018
/players/B/BallCh00.htm,3,106,DL,2011
/players/B/BallVi00.htm,5,170,RB,2012
/players/B/BallCo00.htm,0,180,CB,2019
/players/B/BallLo00.htm,0,256,FS,2014
/players/B/BallGa00.htm,48,104,FL,1962
/players/B/BallMi21.htm,2,56,LB,1970
/players/B/BalmKe99.htm,7,29,DT,2008
/players/B/BanaCa20.htm,52,11,T,1967
/players/B/BandRo20.htm,1,75,DT,1994
/players/B/BandDo20.htm,0,135,G,1967
/players/B/BankAn20.htm,1,113,DB,1997
/players/B/BankCa00.htm,66,3,LB,1984
/players/B/BankCh01.htm,72,3,LB,1982
/players/B/BankCh20.htm,2,226,G,1996
/players/B/BankEs00.htm,1,188,RB,1967
/players/B/BankFr00.htm,14,203,WR,1985
/players/B/BankJo00.htm,14,43,CB,2013
/players/B/BankMi20.htm,0,223,TE,2002
/players/B/BankRo20.htm,13,176,DE,1987
/players/B/BankRo21.htm,0,114,WR,1987
/players/B/BankTa00.htm,3,101,RB,1998
/players/B/BankTo01.htm,66,189,C,1970
/players/B/BankTo00.htm,42,42,QB,1996
/players/B/BankWi20.htm,7,149,G,1968
/players/B/BankMi21.htm,51,100,DE,1992
/players/B/BankWa00.htm,8,42,RB,1969
/players/B/BannJu20.htm,36,139,DT,2002
/players/B/BannZa00.htm,0,137,OG,2017
/players/B/BannAl00.htm,1,140,WR,2001
/players/B/BannBr20.htm,9,116,LB,1973
/players/B/BanoBe00.htm,2,49,EDGE,2019
/players/B/BansAl20.htm,3,71,LB,1960
/players/B/BantBr00.htm,0,106,TE,1994
/players/B/BantTu20.htm,22,239,LOLB,2003
/players/B/BarbGa00.htm,58,74,DB,1976
/players/B/BarbRo20.htm,0,184,NT,1987
/players/B/BarbBo20.htm,18,51,DE,1975
/players/B/BarbDo99.htm,4,173,DB,2008
/players/B/BarbKa20.htm,0,124,RB,1996
/players/B/BarbKu20.htm,4,42,LB,1992
/players/B/BarbMa00.htm,5,30,RB,1981
/players/B/BarbMa01.htm,40,109,RB,2005
/players/B/BarbMi00.htm,4,112,WR,1989
/players/B/BarbMi01.htm,28,48,TE,1976
/players/B/BarbRo00.htm,114,66,DB,1997
/players/B/BarbSh20.htm,39,113,ROLB,1998
/players/B/BarbSt00.htm,61,25,T,1961
/players/B/BarbTi00.htm,99,36,RB,1997
/players/B/BarbAl20.htm,21,119,T,2007
/players/B/BardRa00.htm,4,85,WR,2009
/players/B/BareJo20.htm,6,42,LB,1978
/players/B/BareKe20.htm,0,113,TE,1968
/players/B/BarkLe20.htm,14,177,LILB,1984
/players/B/BarkRo20.htm,41,98,DE,1992
/players/B/BarkMa00.htm,5,98,QB,2013
/players/B/BarkSa00.htm,24,2,RB,2018
/players/B/BarkJo00.htm,35,92,T,2011
/players/B/BarkRa99.htm,0,201,DB,2007
/players/B/BarkJe00.htm,44,9,TE,1972
/players/B/BarlCo20.htm,0,129,DB,1992
/players/B/BarlKe00.htm,36,80,RB,2001
/players/B/BarlRe00.htm,8,110,WR,1996
/players/B/BarnTo20.htm,21,207,DT,1995
/players/B/BarnKe00.htm,4,182,RB,2013
/players/B/BarnAn99.htm,7,134,LB,2007
/players/B/BarnBi00.htm,21,19,HB,1957
