,position,year_drafted,counts,av_mean,draft_mean
631,LOLB,1977,1,20.0,139.0
632,LOLB,1978,1,21.0,126.0
633,LOLB,1980,1,15.0,243.0
634,LOLB,1981,3,13.333333333333334,148.33333333333334
635,LOLB,1982,1,23.0,46.0
636,LOLB,1983,1,14.0,205.0
637,LOLB,1984,1,13.0,24.0
638,LOLB,1985,1,15.0,25.0
639,LOLB,1986,4,29.0,68.75
640,LOLB,1987,5,17.8,79.2
641,LOLB,1988,1,25.0,1.0
642,LOLB,1989,2,18.5,140.5
643,LOLB,1992,1,15.0,116.0
644,LOLB,1995,1,14.0,118.0
645,LOLB,1996,1,8.0,74.0
646,LOLB,1997,1,18.0,194.0
647,LOLB,1998,2,26.0,101.5
648,LOLB,2000,2,25.5,160.5
649,LOLB,2001,1,26.0,102.0
650,LOLB,2003,1,22.0,239.0
651,LOLB,2004,2,9.5,123.0
652,LOLB,2005,2,61.5,28.5
653,LOLB,2008,2,19.5,148.0
654,LOLB,2010,1,22.0,178.0
